name,zone,lat,lng,pin
Prince St. Admissions,-,43.15850678,-77.58992784,star
Goodman St. Admissions,-,43.1566006,-77.58665822,star
Stage,-,43.15682774,-77.58683927,star
Tent of Troubles,-,43.15694523,-77.58710481,star
001,A,43.15828357,-77.58883081,booth
002,A,43.15831685,-77.58881338,booth
003,A,43.15835098,-77.58879393,booth
004,A,43.15837835,-77.5887832,booth
005,A,43.15840681,-77.58876443,booth
006,A,43.15843516,-77.5887537,booth
007,A,43.15846155,-77.58873224,booth
008,A,43.15848794,-77.58871749,booth
009,A,43.15851629,-77.58870408,booth
010,A,43.15825335,-77.58871615,booth
011,A,43.15824162,-77.58867458,booth
012,A,43.15823087,-77.58863837,booth
012,A,43.1582162,77.58860216,booth
014,A,43.1582035,-77.58856595,booth
015,A,43.15819372,-77.58852437,booth
016,A,43.15815827,-77.58839898,booth
017,A,43.15814358,-77.58836143,booth
018,A,43.15813086,-77.58832522,booth
019,A,43.15809365,-77.58820854,booth
020,A,43.15808191,-77.58816965,booth
021,A,43.15807016,-77.5881321,booth
022,A,43.15805841,-77.58809723,booth
023,A,43.15804666,-77.58805566,booth
024,A,43.15803295,-77.58801676,booth
025,A,43.15799759,-77.58789741,booth
026,A,43.1579829,-77.58785449,booth
027,A,43.15797115,-77.58781828,booth
028,A,43.1579594,-77.58778073,booth
029,A,43.15794961,-77.58773781,booth
030,A,43.15793591,-77.58770429,booth
031,A,43.15792318,-77.58766539,booth
032,A,43.15791241,-77.58762382,booth
033,A,43.15789968,-77.58758895,booth
034,A,43.15788902,-77.58755006,booth
035,A,43.15787825,-77.58751251,booth
036,A,,,booth
037,A,,,booth
038,A,,,booth
039,A,,,booth
040,A,,,booth
041,A,,,booth
042,A,,,booth
043,A,,,booth
044,A,,,booth
045,A,,,booth
046,A,,,booth
047,A,,,booth
048,A,,,booth
049,A,,,booth
050,A,,,booth
051,A,,,booth
052,A,,,booth
053,A,,,booth
054,A,,,booth
055,A,,,booth
056,A,,,booth
057,A,,,booth
058,A,,,booth
059,A,,,booth
060,B,,,booth
061,B,,,booth
062,B,,,booth
063,B,,,booth
064,B,,,booth
065,B,,,booth
066,B,,,booth
067,B,,,booth
068,B,,,booth
069,B,,,booth
070,B,,,booth
071,B,,,booth
072,B,,,booth
073,B,,,booth
074,B,,,booth
075,B,,,booth
076,B,,,booth
077,B,,,booth
078,B,,,booth
079,B,,,booth
080,B,,,booth
081,B,,,booth
082,B,,,booth
083,B,,,booth
084,B,,,booth
085,B,,,booth
086,B,,,booth
087,B,,,booth
088,B,,,booth
089,B,,,booth
090,B,,,booth
091,B,,,booth
092,B,,,booth
093,B,,,booth
094,B,,,booth
095,B,,,booth
096,B,,,booth
097,B,,,booth
098,B,,,booth
099,B,,,booth
100,B,,,booth
101,B,,,booth
102,B,,,booth
103,B,,,booth
104,B,,,booth
105,B,,,booth
106,B,,,booth
107,B,,,booth
108,B,,,booth
109,B,,,booth
110,B,,,booth
111,B,,,booth
112,B,,,booth
113,B,,,booth
114,B,,,booth
115,B,,,booth
116,B,,,booth
117,B,,,booth
118,B,,,booth
119,B,,,booth
120,B,,,booth
121,B,,,booth
122,B,,,booth
123,B,,,booth
124,B,,,booth
125,B,,,booth
126,B,,,booth
127,B,,,booth
128,B,,,booth
129,B,,,booth
130,B,,,booth
131,C,,,booth
132,C,,,booth
133,C,,,booth
134,C,,,booth
135,C,,,booth
136,C,,,booth
137,C,,,booth
138,C,,,booth
139,C,,,booth
140,C,,,booth
141,C,,,booth
142,C,,,booth
143,C,,,booth
144,C,,,booth
145,C,,,booth
146,C,,,booth
147,C,,,booth
148,C,,,booth
149,C,,,booth
150,C,,,booth
151,C,,,booth
152,C,,,booth
153,C,,,booth
154,C,,,booth
155,C,,,booth
156,C,,,booth
157,C,,,booth
158,C,,,booth
159,C,,,booth
160,C,,,booth
161,C,,,booth
162,C,,,booth
163,C,,,booth
164,C,,,booth
165,C,,,booth
166,C,,,booth
167,C,,,booth
168,C,,,booth
169,C,,,booth
170,C,,,booth
171,C,,,booth
172,C,,,booth
173,C,,,booth
174,C,,,booth
175,C,,,booth
176,C,,,booth
177,C,,,booth
178,C,,,booth
179,C,,,booth
180,C,,,booth
181,C,,,booth
182,C,,,booth
183,C,,,booth
184,C,,,booth
185,C,,,booth
186,C,,,booth
187,C,,,booth
188,C,,,booth
189,C,,,booth
190,C,,,booth
191,C,,,booth
192,C,,,booth
193,C,,,booth
194,C,,,booth
195,C,,,booth
196,C,,,booth
197,C,,,booth
198,C,,,booth
199,C,,,booth
200,C,,,booth
201,C,,,booth
202,C,,,booth
203,C,,,booth
204,C,,,booth
205,C,,,booth
206,C,,,booth
207,C,,,booth
208,C,,,booth
209,C,,,booth
210,C,,,booth
211,C,,,booth
212,C,,,booth
213,C,,,booth
214,C,,,booth
215,D,,,booth
216,D,,,booth
217,D,,,booth
218,D,,,booth
219,D,,,booth
220,D,,,booth
221,D,,,booth
222,D,,,booth
223,D,,,booth
224,D,,,booth
225,D,,,booth
226,D,,,booth
227,D,,,booth
228,D,,,booth
229,D,,,booth
230,D,,,booth
231,D,,,booth
232,D,,,booth
233,D,,,booth
234,D,,,booth
235,D,,,booth
236,D,,,booth
237,D,,,booth
238,D,,,booth
239,D,,,booth
240,D,,,booth
241,D,,,booth
242,D,,,booth
243,D,,,booth
244,D,,,booth
245,D,,,booth
246,E,,,booth
247,E,,,booth
248,E,,,booth
249,E,,,booth
250,E,,,booth
251,E,,,booth
252,E,,,booth
253,E,,,booth
254,E,,,booth
255,E,,,booth
256,E,,,booth
257,E,,,booth
258,E,,,booth
259,E,,,booth
260,E,,,booth
261,E,,,booth
262,E,,,booth
263,E,,,booth
264,E,,,booth
265,E,,,booth
266,E,,,booth
267,E,,,booth
268,E,,,booth
269,E,,,booth
270,E,,,booth
271,E,,,booth
272,E,,,booth
273,E,,,booth
274,E,,,booth
275,E,,,booth
276,E,,,booth
277,E,,,booth
278,E,,,booth
279,E,,,booth
280,E,,,booth
281,E,,,booth
282,E,,,booth
283,E,,,booth
284,E,,,booth
285,E,,,booth
286,E,,,booth
287,E,,,booth
288,E,,,booth
289,E,,,booth
290,E,,,booth
291,E,,,booth
292,E,,,booth
300,F,,,booth
301,F,,,booth
302,F,,,booth
303,F,,,booth
304,F,,,booth
305,F,,,booth
306,F,,,booth
307,F,,,booth
308,F,,,booth
309,F,,,booth
310,F,,,booth
311,F,,,booth
312,F,,,booth
313,F,,,booth
314,F,,,booth
315,F,,,booth
316,F,,,booth
317,F,,,booth
318,F,,,booth
319,F,,,booth
320,F,,,booth
321,F,,,booth
322,F,,,booth
323,F,,,booth
324,F,,,booth
325,F,,,booth
326,F,,,booth
327,F,,,booth
328,F,,,booth
329,F,,,booth
330,F,,,booth
331,F,,,booth
332,F,,,booth
333,F,,,booth
334,F,,,booth
335,F,,,booth
336,F,,,booth
337,F,,,booth
338,F,,,booth
339,F,,,booth
340,F,,,booth
400,G,,,booth
401,G,,,booth
402,G,,,booth
403,G,,,booth
404,G,,,booth
405,G,,,booth
406,G,,,booth
407,G,,,booth
408,G,,,booth
409,G,,,booth
410,G,,,booth
411,G,,,booth
412,G,,,booth
413,G,,,booth
414,G,,,booth
415,G,,,booth
416,G,,,booth
417,G,,,booth
418,G,,,booth
419,G,,,booth
420,G,,,booth
421,G,,,booth
422,G,,,booth
423,G,,,booth
424,G,,,booth
425,G,,,booth
426,G,,,booth
427,G,,,booth
428,G,,,booth
429,G,,,booth
430,G,,,booth
431,G,,,booth
500,H,,,booth
501,H,,,booth
502,H,,,booth
503,H,,,booth
504,H,,,booth
505,H,,,booth
506,H,,,booth
507,H,,,booth
508,H,,,booth
509,H,,,booth
510,H,,,booth
511,H,,,booth
512,H,,,booth
513,H,,,booth
514,H,,,booth
515,H,,,booth
516,H,,,booth
517,H,,,booth
518,H,,,booth
519,H,,,booth
520,H,,,booth
521,H,,,booth
522,H,,,booth
523,H,,,booth
524,H,,,booth
525,H,,,booth
526,H,,,booth
527,H,,,booth
528,H,,,booth
529,H,,,booth
530,H,,,booth
531,H,,,booth
532,H,,,booth
533,H,,,booth
534,H,,,booth
535,H,,,booth
536,H,,,booth
537,H,,,booth
538,H,,,booth
539,H,,,booth
540,H,,,booth
541,H,,,booth
542,H,,,booth
543,H,,,booth
544,H,,,booth
545,H,,,booth
546,H,,,booth
547,H,,,booth
548,H,,,booth
549,H,,,booth
550,H,,,booth
