name,zone,lat,lng,pin
Prince St. Admissions,-,43.15850678,-77.58992784,star
Goodman St. Admissions,-,43.1566006,-77.58665822,star
Stage,-,43.15682774,-77.58683927,star
Tent of Troubles,-,43.15694523,-77.58710481,star
Creative Workshop,-,43.15753116,-77.587023,star
Drinks,-,43.15785326,-77.58721344,food
Membership,-,43.15802229,-77.58860953,star
THE STORE @ MAG,-,43.15801054,-77.58855186,star
Booksale (M&T Bank Ballroom),-,43.15748774,-77.58756213,star
Truck 1,-,43.1580938,-77.58878388,food
truck 2,-,43.15807128,-77.58870743,food
truck 3,-,43.15805268,-77.5886444,food
truck 4,-,43.15793715,-77.5882528,food
truck 5,-,43.15791463,-77.58818708,food
truck 6,-,43.15789603,-77.58811466,food
truck 7,-,43.15787156,-77.58804627,food
truck 8,-,43.15785295,-77.58797519,food
truck 9,-,43.15783332,-77.58790411,food
truck 10,-,43.15781178,-77.58783571,food
truck 11,-,43.15779024,-77.58776329,food
truck 12,-,43.15776968,-77.58769356,food
truck 13,-,43.15774618,-77.58762516,food
truck 14,-,43.15772562,-77.58755408,food
truck 15,-,43.15770408,-77.58748434,food
001,A,43.15828357,-77.58883081,booth
002,A,43.15831685,-77.58881338,booth
003,A,43.15835098,-77.58879393,booth
004,A,43.15837835,-77.5887832,booth
005,A,43.15840681,-77.58876443,booth
006,A,43.15843516,-77.5887537,booth
007,A,43.15846155,-77.58873224,booth
008,A,43.15848794,-77.58871749,booth
009,A,43.15851629,-77.58870408,booth
010,A,43.15825335,-77.58871615,booth
011,A,43.15824162,-77.58867458,booth
012,A,43.15823087,-77.58863837,booth
013,A,43.1582162,77.58860216,booth
014,A,43.1582035,-77.58856595,booth
015,A,43.15819372,-77.58852437,booth
016,A,43.15815827,-77.58839898,booth
017,A,43.15814358,-77.58836143,booth
018,A,43.15813086,-77.58832522,booth
019,A,43.15809365,-77.58820854,booth
020,A,43.15808191,-77.58816965,booth
021,A,43.15807016,-77.5881321,booth
022,A,43.15805841,-77.58809723,booth
023,A,43.15804666,-77.58805566,booth
024,A,43.15803295,-77.58801676,booth
025,A,43.15799759,-77.58789741,booth
026,A,43.1579829,-77.58785449,booth
027,A,43.15797115,-77.58781828,booth
028,A,43.1579594,-77.58778073,booth
029,A,43.15794961,-77.58773781,booth
030,A,43.15793591,-77.58770429,booth
031,A,43.15792318,-77.58766539,booth
032,A,43.15791241,-77.58762382,booth
033,A,43.15789968,-77.58758895,booth
034,A,43.15788902,-77.58755006,booth
035,A,43.15787825,-77.58751251,booth
036,A,43.1582915,-77.58869402,booth
037,A,43.15827877,-77.58865647,booth
038,A,43.15826996,-77.58861758,booth
039,A,43.15825528,-77.58857869,booth
040,A,43.15824646,-77.58853979,booth
041,A,43.15823667,-77.58850224,booth
042,A,43.15819751,-77.58837752,booth
043,A,43.15818577,-77.58834131,booth
044,A,43.158175,-77.58830242,booth
045,A,43.15813975,-77.58818306,booth
046,A,43.15812604,-77.58814551,booth
047,A,43.15811528,-77.58810662,booth
048,A,43.15810451,-77.58806773,booth
049,A,43.15809374,-77.58803017,booth
050,A,43.15808101,-77.58799262,booth
051,A,43.15803978,-77.58787192,booth
052,A,43.15803293,-77.58783169,booth
053,A,43.15802118,-77.5877928,booth
054,A,43.15800943,-77.58775257,booth
055,A,43.15799474,-77.58771501,booth
056,A,43.15798397,-77.58767344,booth
057,A,43.15797614,-77.58763589,booth
058,A,43.15793992,-77.5875219,booth
059,A,43.15793013,-77.587483,booth
060,B,43.15835679,-77.58865647,booth
061,B,43.15834602,-77.58861624,booth
062,B,43.15833623,-77.58858003,booth
063,B,43.15832351,-77.58854114,booth
064,B,43.15831176,-77.58850224,booth
065,B,43.15830001,-77.58846201,booth
066,B,43.15823931,-77.58826353,booth
067,B,43.15822756,-77.58822463,booth
068,B,43.15821579,-77.5881844,booth
069,B,43.15820599,-77.58814685,booth
070,B,43.15819523,-77.58810796,booth
071,B,43.1581825,-77.58807041,booth
072,B,43.15817075,-77.58802749,booth
073,B,43.15815606,-77.58799128,booth
074,B,43.15814823,-77.58795239,booth
075,B,43.15811103,-77.58782901,booth
076,B,43.15810026,-77.58778878,booth
077,B,43.15808753,-77.58775391,booth
078,B,43.15807676,-77.5877177,booth
079,B,43.15806415,-77.58767612,booth
080,B,43.1580524,-77.58763589,booth
081,B,43.15804163,-77.587597,booth
082,B,43.15803086,-77.58756079,booth
083,B,43.15801814,-77.5875219,booth
084,B,43.15800737,-77.58748434,booth
085,B,43.15799464,-77.58744545,booth
086,B,43.15841449,-77.58862428,booth
087,B,43.15840275,-77.58858673,booth
088,B,43.15839002,-77.58854918,booth
089,B,43.15837729,-77.58850761,booth
090,B,43.15836652,-77.58847408,booth
091,B,43.15835379,-77.58843251,booth
092,B,43.15831463,-77.58831047,booth
093,B,43.15830386,-77.58827291,booth
094,B,43.15829505,-77.58823134,booth
095,B,43.15828135,-77.58819647,booth
096,B,43.15827156,-77.5881549,booth
097,B,43.15826079,-77.58812003,booth
098,B,43.15824806,-77.58808114,booth
099,B,43.15823637,-77.58804224,booth
100,B,43.15822364,-77.58800335,booth
101,B,43.15821385,-77.58796312,booth
102,B,43.15820211,-77.58792423,booth
103,B,43.15816392,-77.58780219,booth
104,B,43.15815315,-77.58776464,booth
105,B,43.15814141,-77.58772708,booth
106,B,43.15812868,-77.58768551,booth
107,B,43.15811791,-77.58764796,booth
108,B,43.15810616,-77.58760773,booth
109,B,43.15809441,-77.58757018,booth
110,B,43.15808266,77.58753262,booth
111,B,43.15807189,-77.58749239,booth
112,B,43.15806015,-77.58745216,booth
113,B,43.15804644,-77.58741595,booth
114,B,43.15801234,-77.58729525,booth
115,B,43.15800059,-77.58725502,booth
116,B,43.15798493,-77.58721478,booth
117,B,43.15797612,-77.58717857,booth
118,B,43.15796348,-77.587137,booth
119,B,43.15795174,-77.58710213,booth
120,B,43.15794097,-77.58706324,booth
121,B,43.1579302,-77.58702435,booth
122,B,43.15791845,-77.58698545,booth
123,B,43.15787048,-77.58687012,booth
124,B,43.15789789,-77.58685403,booth
125,B,43.15792824,-77.58683927,booth
126,B,43.15795957,-77.58683123,booth
127,B,43.157986,-77.58680843,booth
128,B,43.15801439,-77.58679368,booth
129,B,43.15804279,-77.5867749,booth
130,B,43.1580702,-77.58676015,booth
131,C,43.15847649,-77.58859076,booth
132,C,43.15846572,-77.58855186,booth
133,C,43.15845495,-77.58850895,booth
134,C,43.15844223,-77.58847408,booth
135,C,43.15843048,-77.58843653,booth
136,C,43.15841873,-77.5883963,booth
137,C,43.15838251,-77.5882756,booth
138,C,43.15837076,-77.58823536,booth
139,C,43.15835999,-77.58819647,booth
140,C,43.15834922,-77.58815892,booth
141,C,43.15833551,-77.58811869,booth
142,C,43.15832474,-77.58808114,booth
143,C,43.15831202,-77.58804224,booth
144,C,43.15830223,-77.58800201,booth
145,C,43.1582895,-77.58796312,booth
146,C,43.15827748,-77.58792825,booth
147,C,43.15826573,-77.58788936,booth
148,C,43.15822951,-77.58776464,booth
149,C,43.15821776,-77.58772708,booth
150,C,43.15820601,-77.58768819,booth
151,C,43.15819426,-77.58765064,booth
152,C,43.15818349,-77.58761041,booth
153,C,43.15817175,-77.58757018,booth
154,C,43.15815902,-77.58753128,booth
155,C,43.15814923,-77.58749373,booth
156,C,43.15813846,-77.58745752,booth
157,C,43.15812573,-77.58741729,booth
158,C,43.158113,-77.58737706,booth
159,C,43.15807761,-77.58725636,booth
160,C,43.15806391,-77.58721747,booth
161,C,43.15805412,-77.58717857,booth
162,C,43.15804335,-77.58713968,booth
163,C,43.1580316,-77.58710347,booth
164,C,43.15801789,-77.58706324,booth
165,C,43.15800712,-77.58702435,booth
166,C,43.15799733,-77.5869868,booth
167,C,43.15798265,-77.58694522,booth
168,C,43.15853297,-77.58855857,booth
169,C,43.15852123,-77.58852102,booth
170,C,43.1585085,-77.58848079,booth
171,C,43.15849675,-77.58844323,booth
172,C,43.15848598,-77.58840568,booth
173,C,43.15847521,-77.58836813,booth
174,C,43.15843703,-77.58824609,booth
175,C,43.15842626,-77.58820586,booth
176,C,43.15841158,-77.58816831,booth
177,C,43.15840179,-77.58812808,booth
178,C,43.15839004,-77.58809052,booth
179,C,43.15837829,-77.58805163,booth
180,C,43.15836654,-77.58801408,booth
181,C,43.15835479,-77.58797385,booth
182,C,43.15834207,-77.58793496,booth
183,C,43.1583313,-77.58789875,booth
184,C,43.15832151,-77.58785985,booth
185,C,43.15828139,-77.58773647,booth
186,C,43.1582716,-77.58769758,booth
187,C,43.15825986,-77.58766003,booth
188,C,43.15825007,-77.5876198,booth
189,C,43.15823636,-77.58757956,booth
190,C,43.15822559,-77.58754335,booth
191,C,43.15821384,-77.5875058,booth
192,C,43.15820111,-77.58746289,booth
193,C,43.15819132,-77.58742802,booth
194,C,43.1581786,-77.58738644,booth
195,C,43.15816783,-77.58734889,booth
196,C,43.15812867,-77.58722819,booth
197,C,43.15811888,-77.58718662,booth
198,C,43.15810713,-77.58714907,booth
199,C,43.15809636,-77.58711018,booth
200,C,43.15808363,-77.58707128,booth
201,C,43.15807188,-77.58703239,booth
202,C,43.15806111,-77.58699618,booth
203,C,43.15804839,-77.58695729,booth
204,C,43.15803762,-77.58691974,booth
205,C,,,booth
206,C,,,booth
207,C,,,booth
208,C,,,booth
209,C,,,booth
210,C,,,booth
211,C,,,booth
212,C,,,booth
213,C,,,booth
214,C,,,booth
215,D,43.15850178,-77.58820988,booth
216,D,43.15848906,-77.58817099,booth
217,D,43.15847829,-77.5881321,booth
218,D,43.15846556,-77.58809321,booth
219,D,43.15845381,-77.58805566,booth
220,D,43.15844402,-77.58801408,booth
221,D,43.15843129,-77.58797653,booth
222,D,43.15841955,-77.58793764,booth
223,D,43.15840763,-77.58790009,booth
224,D,43.15839686,-77.58785985,booth
225,D,43.15838315,-77.58782096,booth
226,D,43.15834791,-77.58769624,booth
227,D,43.15833616,-77.58766271,booth
228,D,43.15832441,-77.58762248,booth
229,D,43.15831266,-77.58758225,booth
230,D,43.15830092,-77.58754604,booth
231,D,43.15828819,-77.5875058,booth
232,D,43.1582784,-77.58746691,booth
233,D,43.15826665,-77.58742802,booth
234,D,43.15825392,-77.58738913,booth
235,D,43.15824315,-77.58735158,booth
236,D,43.15823043,-77.58731402,booth
237,D,43.15819616,-77.5871893,booth
238,D,43.15818343,-77.58715041,booth
239,D,43.15817283,-77.58711152,booth
240,D,43.1581601,-77.58707263,booth
241,D,43.15814835,-77.58703507,booth
242,D,43.15813758,-77.58699887,booth
243,D,43.15812485,-77.58695997,booth
244,D,43.15811409,-77.58692242,booth
245,D,43.15810038,-77.58688085,booth
246,E,,,booth
247,E,,,booth
248,E,,,booth
249,E,,,booth
250,E,,,booth
251,E,,,booth
252,E,,,booth
253,E,,,booth
254,E,,,booth
255,E,,,booth
256,E,,,booth
257,E,,,booth
258,E,,,booth
259,E,,,booth
260,E,,,booth
261,E,,,booth
262,E,,,booth
263,E,,,booth
264,E,,,booth
265,E,,,booth
266,E,,,booth
267,E,,,booth
268,E,,,booth
269,E,,,booth
270,E,,,booth
271,E,,,booth
272,E,,,booth
273,E,,,booth
274,E,,,booth
275,E,,,booth
276,E,,,booth
277,E,,,booth
278,E,,,booth
279,E,,,booth
280,E,,,booth
281,E,,,booth
282,E,,,booth
283,E,,,booth
284,E,,,booth
285,E,,,booth
286,E,,,booth
287,E,,,booth
288,E,,,booth
289,E,,,booth
290,E,,,booth
291,E,,,booth
292,E,,,booth
300,F,,,booth
301,F,,,booth
302,F,,,booth
303,F,,,booth
304,F,,,booth
305,F,,,booth
306,F,,,booth
307,F,,,booth
308,F,,,booth
309,F,,,booth
310,F,,,booth
311,F,,,booth
312,F,,,booth
313,F,,,booth
314,F,,,booth
315,F,,,booth
316,F,,,booth
317,F,,,booth
318,F,,,booth
319,F,,,booth
320,F,,,booth
321,F,,,booth
322,F,,,booth
323,F,,,booth
324,F,,,booth
325,F,,,booth
326,F,,,booth
327,F,,,booth
328,F,,,booth
329,F,,,booth
330,F,,,booth
331,F,,,booth
332,F,,,booth
333,F,,,booth
334,F,,,booth
335,F,,,booth
336,F,,,booth
337,F,,,booth
338,F,,,booth
339,F,,,booth
340,F,,,booth
400,G,,,booth
401,G,,,booth
402,G,,,booth
403,G,,,booth
404,G,,,booth
405,G,,,booth
406,G,,,booth
407,G,,,booth
408,G,,,booth
409,G,,,booth
410,G,,,booth
411,G,,,booth
412,G,,,booth
413,G,,,booth
414,G,,,booth
415,G,,,booth
416,G,,,booth
417,G,,,booth
418,G,,,booth
419,G,,,booth
420,G,,,booth
421,G,,,booth
422,G,,,booth
423,G,,,booth
424,G,,,booth
425,G,,,booth
426,G,,,booth
427,G,,,booth
428,G,,,booth
429,G,,,booth
430,G,,,booth
431,G,,,booth
500,H,,,booth
501,H,,,booth
502,H,,,booth
503,H,,,booth
504,H,,,booth
505,H,,,booth
506,H,,,booth
507,H,,,booth
508,H,,,booth
509,H,,,booth
510,H,,,booth
511,H,,,booth
512,H,,,booth
513,H,,,booth
514,H,,,booth
515,H,,,booth
516,H,,,booth
517,H,,,booth
518,H,,,booth
519,H,,,booth
520,H,,,booth
521,H,,,booth
522,H,,,booth
523,H,,,booth
524,H,,,booth
525,H,,,booth
526,H,,,booth
527,H,,,booth
528,H,,,booth
529,H,,,booth
530,H,,,booth
531,H,,,booth
532,H,,,booth
533,H,,,booth
534,H,,,booth
535,H,,,booth
536,H,,,booth
537,H,,,booth
538,H,,,booth
539,H,,,booth
540,H,,,booth
541,H,,,booth
542,H,,,booth
543,H,,,booth
544,H,,,booth
545,H,,,booth
546,H,,,booth
547,H,,,booth
548,H,,,booth
549,H,,,booth
550,H,,,booth
